what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1242380344984
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1242380345046
started,bundle,org.eclipse.update.scheduler,3.2.100.v20080404,org.eclipse.update.scheduler,1242380345046
started,bundle,org.eclipse.dltk.core,1.0.0.v20081228,org.eclipse.dltk.core,1242380345078
started,bundle,org.eclipse.dltk.launching,1.0.0.v20081208,org.eclipse.dltk.launching,1242380345078
started,bundle,org.eclipse.dltk.ruby.core,1.0.0.v20081105,org.eclipse.dltk.ruby.core,1242380345078
started,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242380345078
started,bundle,org.eclipse.dltk.ruby.launching,1.0.0.v20080819,org.eclipse.dltk.ruby.launching,1242380345078
started,bundle,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui,1242380345093
started,bundle,org.eclipse.dltk.ui,1.0.0.v20081228,org.eclipse.dltk.ui,1242380345093
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20081201,org.eclipse.dltk.validators.ui,1242380345093
started,bundle,org.eclipse.epp.usagedata.gathering,1.0.1.R200809220400,org.eclipse.epp.usagedata.gathering,1242380345093
started,bundle,org.eclipse.epp.usagedata.recording,1.0.1.R200809220400,org.eclipse.epp.usagedata.recording,1242380345093
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.core,1242380345093
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1242380345093
started,bundle,org.eclipse.mylyn.commons.net,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.net,1242380345093
started,bundle,org.eclipse.mylyn.commons.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.ui,1242380345093
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1242380345093
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1242380345125
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1242380345125
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1242380345140
started,bundle,org.tigris.subversion.clientadapter,1.5.3,org.tigris.subversion.clientadapter,1242380345140
started,bundle,org.tigris.subversion.subclipse.core,1.4.8,org.tigris.subversion.subclipse.core,1242380345140
started,bundle,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui,1242380345203
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1242380345312
